time	V(ausgang)
0.000000000000000e+000	1.648116e+000
9.765624940649698e-012	1.648116e+000
1.953124988129940e-011	1.648116e+000
3.906249976259879e-011	1.648116e+000
7.812499952519758e-011	1.648116e+000
8.789062446584728e-011	1.648116e+000
1.074218743471467e-010	1.648116e+000
1.464843741097455e-010	1.648116e+000
2.246093736349430e-010	1.648116e+000
3.808593726853382e-010	1.648116e+000
6.933593707861285e-010	1.648116e+000
1.318359366987709e-009	1.648116e+000
2.568359359390871e-009	1.648116e+000
5.068359344197193e-009	1.648116e+000
1.006835931380984e-008	1.648116e+000
1.603514514998247e-008	1.648116e+000
2.144757837694495e-008	1.648116e+000
2.744960434583104e-008	1.648116e+000
3.387694666835296e-008	1.648116e+000
4.160882831582249e-008	1.648116e+000
5.074942229872426e-008	1.648116e+000
6.279696949778289e-008	1.648117e+000
7.946074257968737e-008	1.648118e+000
1.067160925766204e-007	1.648120e+000
1.375758180048278e-007	1.648123e+000
1.671087851565501e-007	1.648127e+000
2.025210527674224e-007	1.648132e+000
2.435125749288134e-007	1.648138e+000
2.962873409188666e-007	1.648145e+000
3.605270078554922e-007	1.648153e+000
4.486937491581566e-007	1.648162e+000
5.708446845381997e-007	1.648171e+000
7.726128003104025e-007	1.648178e+000
1.150652397833382e-006	1.648182e+000
5.000000000000000e-006	1.648184e+000
5.001437972871340e-006	1.648184e+000
5.004313918614018e-006	1.648184e+000
5.007685634874270e-006	1.648184e+000
5.011181189773423e-006	1.648184e+000
5.017072071020216e-006	1.648184e+000
5.023592876176001e-006	1.648184e+000
5.029795073135427e-006	1.648183e+000
5.036662509674060e-006	1.648183e+000
5.044559678066035e-006	1.648183e+000
5.054683085453770e-006	1.648183e+000
5.067902144248865e-006	1.648182e+000
5.087934698168158e-006	1.648181e+000
5.112000328405955e-006	1.648179e+000
5.143983313500929e-006	1.648175e+000
5.172879777911345e-006	1.648172e+000
5.211898348411052e-006	1.648166e+000
5.252622731436223e-006	1.648160e+000
5.310419486652431e-006	1.648152e+000
5.375300115749628e-006	1.648144e+000
5.474292262593336e-006	1.648134e+000
5.601852672185522e-006	1.648127e+000
5.843496449924050e-006	1.648120e+000
6.263889611212470e-006	1.648116e+000
5.463609942694915e-005	1.648116e+000
5.500000000000000e-005	1.648116e+000
5.500080308328644e-005	1.648116e+000
5.500240924985933e-005	1.648116e+000
5.500483275844388e-005	1.648116e+000
5.500746095941515e-005	1.648116e+000
5.501271736135768e-005	1.648116e+000
5.501757490557703e-005	1.648116e+000
5.502293249803313e-005	1.648116e+000
5.502942749483281e-005	1.648115e+000
5.503609543818941e-005	1.648115e+000
5.504433652328962e-005	1.648115e+000
5.505397884454308e-005	1.648115e+000
5.506718941672375e-005	1.648114e+000
5.508645788754212e-005	1.648113e+000
5.511075697532537e-005	1.648111e+000
5.514213188722732e-005	1.648107e+000
5.517144885590579e-005	1.648104e+000
5.520919105786565e-005	1.648098e+000
5.525054520409106e-005	1.648092e+000
5.530580044350393e-005	1.648085e+000
5.537204359730572e-005	1.648076e+000
5.546487428165343e-005	1.648067e+000
5.559590077119539e-005	1.648058e+000
5.562286250977699e-005	1.648056e+000
5.567678598694018e-005	1.648054e+000
5.578463294126656e-005	1.648052e+000
5.600032684991933e-005	1.648049e+000
6.000000000000000e-005	1.648047e+000
6.000259184256298e-005	1.648047e+000
6.000777552768895e-005	1.648048e+000
6.001303527800645e-005	1.648048e+000
6.001807082238885e-005	1.648048e+000
6.002296156944307e-005	1.648048e+000
6.002977702606700e-005	1.648048e+000
6.003613932755835e-005	1.648048e+000
6.004478146288608e-005	1.648048e+000
6.005401966441873e-005	1.648048e+000
6.006780020904487e-005	1.648049e+000
6.008628162327050e-005	1.648050e+000
6.011112707355748e-005	1.648052e+000
6.014213226134767e-005	1.648056e+000
6.017177688995777e-005	1.648059e+000
6.020924354128194e-005	1.648065e+000
6.025080694894458e-005	1.648071e+000
6.030606468720994e-005	1.648078e+000
6.037219674183699e-005	1.648087e+000
6.046573179318510e-005	1.648096e+000
6.059546614623610e-005	1.648104e+000
6.081594786651151e-005	1.648111e+000
6.124937116247369e-005	1.648115e+000
9.902343750000000e-005	1.648116e+000
1.000000000000000e-004	1.648116e+000
1.000025920313034e-004	1.648116e+000
1.000077760939102e-004	1.648116e+000
1.000130376912249e-004	1.648116e+000
1.000180743636705e-004	1.648116e+000
1.000229657463123e-004	1.648116e+000
1.000297807429508e-004	1.648116e+000
1.000361436450498e-004	1.648116e+000
1.000447861246160e-004	1.648116e+000
