time	V(ausgang)
0.000000000000000e+000	1.648115e+000
9.765624940649698e-012	1.648105e+000
9.829777169065199e-012	1.648095e+000
1.055622154776234e-011	1.648094e+000
1.066301904914721e-011	1.648125e+000
1.074187564760248e-011	1.648094e+000
1.090022678203499e-011	1.648094e+000
1.098188382715582e-011	1.648101e+000
1.107344494879461e-011	1.648117e+000
1.116353438707428e-011	1.648095e+000
1.121592544315540e-011	1.648071e+000
1.127056857765247e-011	1.648080e+000
1.131595537827715e-011	1.648094e+000
1.150884334260642e-011	1.648093e+000
1.158228880827546e-011	1.648100e+000
1.169071266977027e-011	1.648116e+000
1.179774509927221e-011	1.648124e+000
1.200268482444373e-011	1.648124e+000
1.217626903116275e-011	1.648121e+000
1.237823509552428e-011	1.648113e+000
1.257603273540454e-011	1.648113e+000
1.274049996211132e-011	1.648120e+000
1.290990034104447e-011	1.648133e+000
1.303761952188814e-011	1.648140e+000
1.315267602044463e-011	1.648121e+000
1.322783112175136e-011	1.648102e+000
1.330785107947133e-011	1.648113e+000
1.335686241407430e-011	1.648124e+000
1.341407126033480e-011	1.648106e+000
1.345329883740083e-011	1.648081e+000
1.350852870776476e-011	1.648063e+000
1.360577562432263e-011	1.648094e+000
1.370812958786369e-011	1.648093e+000
1.376948863979780e-011	1.648099e+000
1.386502850044263e-011	1.648109e+000
1.395905755435035e-011	1.648109e+000
1.406173648445828e-011	1.648116e+000
1.418466809798048e-011	1.648109e+000
1.419086617418451e-011	1.648104e+000
1.420326232659257e-011	1.648093e+000
1.427763924104091e-011	1.648093e+000
1.436080307751088e-011	1.648093e+000
1.447326964641387e-011	1.648096e+000
1.467322296121455e-011	1.648108e+000
1.487022284415413e-011	1.648120e+000
1.503985767495504e-011	1.648124e+000
1.520464647457467e-011	1.648124e+000
1.537387107627999e-011	1.648121e+000
1.560741793738506e-011	1.648112e+000
1.583734225967439e-011	1.648104e+000
1.603531972700893e-011	1.648101e+000
1.655559317129490e-011	1.648108e+000
1.685650174025234e-011	1.648108e+000
1.716991144558250e-011	1.648109e+000
1.769241852921673e-011	1.648114e+000
1.820797292818684e-011	1.648116e+000
1.867964914440428e-011	1.648116e+000
1.936823741642230e-011	1.648116e+000
2.074541396045835e-011	1.648116e+000
2.208267844053248e-011	1.648116e+000
2.474234222840747e-011	1.648116e+000
2.710359710750932e-011	1.648115e+000
2.825166232334079e-011	1.648115e+000
3.047645025456050e-011	1.648113e+000
3.156258778254313e-011	1.648113e+000
3.268536638514181e-011	1.648113e+000
3.493092359033917e-011	1.648112e+000
3.727746219818168e-011	1.648112e+000
3.994856675402526e-011	1.648110e+000
4.017124404280011e-011	1.648111e+000
4.061659862034981e-011	1.648112e+000
4.111047647834859e-011	1.648112e+000
4.252596883057956e-011	1.648114e+000
4.318729314684274e-011	1.648114e+000
4.431423298218523e-011	1.648114e+000
4.566678992330554e-011	1.648114e+000
4.837190380554615e-011	1.648113e+000
5.115065029018674e-011	1.648113e+000
5.390740240286781e-011	1.648113e+000
5.699015730967247e-011	1.648114e+000
6.135894584472819e-011	1.648113e+000
6.399617716493838e-011	1.648112e+000
6.647191028691311e-011	1.648112e+000
6.845936013616344e-011	1.648114e+000
6.874649194267992e-011	1.648115e+000
6.932075555571290e-011	1.648115e+000
7.026883884771875e-011	1.648114e+000
7.119956318446422e-011	1.648114e+000
7.228825518007807e-011	1.648114e+000
7.368631650536836e-011	1.648114e+000
7.648243915594895e-011	1.648113e+000
7.828160808457902e-011	1.648112e+000
8.012786885467903e-011	1.648112e+000
8.277916077100222e-011	1.648112e+000
8.526120138920602e-011	1.648113e+000
8.547260187478080e-011	1.648114e+000
8.589540284593036e-011	1.648115e+000
8.674100478822948e-011	1.648112e+000
8.761230441977883e-011	1.648111e+000
8.856636589813901e-011	1.648112e+000
8.987698882115000e-011	1.648114e+000
9.126733393159684e-011	1.648114e+000
9.242462423675309e-011	1.648113e+000
9.363174907734945e-011	1.648113e+000
9.525014836761761e-011	1.648112e+000
9.739737384381743e-011	1.648112e+000
9.875067649748649e-011	1.648114e+000
1.001632689297621e-010	1.648114e+000
1.014900528267119e-010	1.648114e+000
1.039309497695097e-010	1.648112e+000
1.062641247326472e-010	1.648111e+000
1.078478333631231e-010	1.648110e+000
1.098355129449983e-010	1.648111e+000
1.119881604838665e-010	1.648111e+000
1.150741619794426e-010	1.648112e+000
1.189357419537057e-010	1.648113e+000
1.224451742855099e-010	1.648113e+000
1.266876073811058e-010	1.648113e+000
1.351724735722977e-010	1.648113e+000
1.441159441949892e-010	1.648112e+000
1.549237978937568e-010	1.648112e+000
1.672521596774657e-010	1.648112e+000
1.919088832448836e-010	1.648112e+000
2.246235230731419e-010	1.648112e+000
2.666012027803190e-010	1.648112e+000
3.112301603053844e-010	1.648112e+000
3.601074053017405e-010	1.648112e+000
