rload	V(out)	I(R3)
9.999999999999999e-031	5.888829e-030	5.888829e+000
1.047128548050900e-030	6.166361e-030	5.888829e+000
1.096478196143185e-030	6.456973e-030	5.888829e+000
1.148153621496883e-030	6.761280e-030	5.888829e+000
1.202264434617413e-030	7.079930e-030	5.888829e+000
1.258925411794168e-030	7.413596e-030	5.888829e+000
1.318256738556408e-030	7.762988e-030	5.888829e+000
1.380384264602886e-030	8.128847e-030	5.888829e+000
1.445439770745929e-030	8.511948e-030	5.888829e+000
1.513561248436209e-030	8.913103e-030	5.888829e+000
1.584893192461115e-030	9.333165e-030	5.888829e+000
1.659586907437562e-030	9.773023e-030	5.888829e+000
1.737800828749377e-030	1.023361e-029	5.888829e+000
1.819700858609986e-030	1.071591e-029	5.888829e+000
1.905460717963249e-030	1.122093e-029	5.888829e+000
1.995262314968882e-030	1.174976e-029	5.888829e+000
2.089296130854042e-030	1.230351e-029	5.888829e+000
2.187761623949556e-030	1.288335e-029	5.888829e+000
2.290867652767776e-030	1.349053e-029	5.888829e+000
2.398832919019494e-030	1.412632e-029	5.888829e+000
2.511886431509584e-030	1.479207e-029	5.888829e+000
2.630267991895387e-030	1.548920e-029	5.888829e+000
2.754228703338172e-030	1.621918e-029	5.888829e+000
2.884031503126611e-030	1.698357e-029	5.888829e+000
3.019951720402022e-030	1.778398e-029	5.888829e+000
3.162277660168386e-030	1.862211e-029	5.888829e+000
3.311311214825918e-030	1.949975e-029	5.888829e+000
3.467368504525324e-030	2.041874e-029	5.888829e+000
3.630780547701021e-030	2.138105e-029	5.888829e+000
3.801893963205620e-030	2.238870e-029	5.888829e+000
3.981071705534982e-030	2.344385e-029	5.888829e+000
4.168693834703364e-030	2.454872e-029	5.888829e+000
4.365158322401670e-030	2.570567e-029	5.888829e+000
4.570881896148762e-030	2.691714e-029	5.888829e+000
4.786300923226396e-030	2.818571e-029	5.888829e+000
5.011872336272736e-030	2.951406e-029	5.888829e+000
5.248074602497740e-030	3.090501e-029	5.888829e+000
5.495408738576260e-030	3.236152e-029	5.888829e+000
5.754399373371585e-030	3.388667e-029	5.888829e+000
6.025595860743594e-030	3.548370e-029	5.888829e+000
6.309573444801951e-030	3.715600e-029	5.888829e+000
6.606934480075979e-030	3.890711e-029	5.888829e+000
6.918309709189385e-030	4.074074e-029	5.888829e+000
7.244359600749923e-030	4.266079e-029	5.888829e+000
7.585775750291861e-030	4.467133e-029	5.888829e+000
7.943282347242840e-030	4.677663e-029	5.888829e+000
8.317637711026736e-030	4.898114e-029	5.888829e+000
8.709635899560834e-030	5.128955e-029	5.888829e+000
9.120108393559127e-030	5.370676e-029	5.888829e+000
9.549925860214391e-030	5.623788e-029	5.888829e+000
1.000000000000003e-029	5.888829e-029	5.888829e+000
1.047128548050903e-029	6.166361e-029	5.888829e+000
1.096478196143189e-029	6.456973e-029	5.888829e+000
1.148153621496887e-029	6.761280e-029	5.888829e+000
1.202264434617417e-029	7.079930e-029	5.888829e+000
1.258925411794172e-029	7.413596e-029	5.888829e+000
1.318256738556412e-029	7.762988e-029	5.888829e+000
1.380384264602890e-029	8.128847e-029	5.888829e+000
1.445439770745933e-029	8.511948e-029	5.888829e+000
1.513561248436214e-029	8.913103e-029	5.888829e+000
1.584893192461120e-029	9.333165e-029	5.888829e+000
1.659586907437567e-029	9.773023e-029	5.888829e+000
1.737800828749382e-029	1.023361e-028	5.888829e+000
1.819700858609991e-029	1.071591e-028	5.888829e+000
1.905460717963255e-029	1.122093e-028	5.888829e+000
